,Opp_obp
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.3055555555555556
306,0.1875
307,0.2647058823529412
308,0.22857142857142856
309,0.2777777777777778
310,0.25
311,0.4117647058823529
312,0.35294117647058826
313,0.5111111111111111
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.3684210526315789
322,0.2857142857142857
323,0.2857142857142857
324,0.4594594594594595
325,0.35
326,0.2631578947368421
327,0.3939393939393939
328,0.3684210526315789
329,0.3157894736842105
330,0.0
331,0.0
332,0.0
333,0.23529411764705882
334,0.24242424242424243
335,0.21875
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
350,0.4
351,0.3333333333333333
352,0.22580645161290322
353,0.24390243902439024
354,0.2894736842105263
355,0.3076923076923077
356,0.28205128205128205
357,0.1875
358,0.2972972972972973
359,0.3235294117647059
360,0.26666666666666666
361,0.4594594594594595
362,0.0
365,0.0
366,0.35135135135135137
367,0.25
368,0.32432432432432434
369,0.28125
370,0.3055555555555556
371,0.3055555555555556
372,0.2857142857142857
375,0.39473684210526316
376,0.34210526315789475
377,0.4523809523809524
378,0.2972972972972973
379,0.425
380,0.34375
381,0.28125
382,0.20588235294117646
383,0.23333333333333334
384,0.21212121212121213
385,0.2857142857142857
386,0.22580645161290322
387,0.35135135135135137
388,0.2647058823529412
389,0.3333333333333333
390,0.32432432432432434
391,0.2903225806451613
392,0.5142857142857142
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.3142857142857143
400,0.21212121212121213
401,0.2727272727272727
402,0.0
403,0.0
404,0.0
405,0.0
406,0.2777777777777778
407,0.4117647058823529
408,0.4473684210526316
409,0.42857142857142855
410,0.3888888888888889
411,0.46153846153846156
412,0.0
413,0.0
414,0.425
415,0.30303030303030304
416,0.35
417,0.3611111111111111
418,0.24242424242424243
419,0.4883720930232558
420,0.3902439024390244
421,0.3157894736842105
422,0.21875
423,0.4634146341463415
424,0.21875
425,0.3684210526315789
426,0.2571428571428571
427,0.4444444444444444
428,0.2972972972972973
429,0.32558139534883723
430,0.0
431,0.0
432,0.0
433,0.2
434,0.16666666666666666
435,0.21875
436,0.25
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.41025641025641024
444,0.3902439024390244
445,0.22580645161290322
446,0.21212121212121213
447,0.2857142857142857
448,0.3333333333333333
449,0.25806451612903225
450,0.3125
451,0.23529411764705882
452,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.2972972972972973
465,0.21875
466,0.3225806451612903
467,0.21875
468,0.22033898305084745
469,0.06896551724137931
470,0.0
471,0.0
472,0.0
473,0.39473684210526316
474,0.2727272727272727
475,0.34210526315789475
476,0.2647058823529412
477,0.375
478,0.47058823529411764
