,Opp_ba
605,0.0
606,0.0
607,0.2894736842105263
608,0.16666666666666666
609,0.3783783783783784
610,0.20588235294117646
611,0.2972972972972973
612,0.18181818181818182
613,0.0
614,0.0
615,0.0
616,0.35294117647058826
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.22857142857142856
636,0.32432432432432434
637,0.35294117647058826
638,0.22580645161290322
639,0.25
640,0.1875
641,0.25806451612903225
642,0.0
643,0.0
644,0.0
645,0.37037037037037035
646,0.3157894736842105
647,0.325
648,0.3333333333333333
649,0.36363636363636365
650,0.19230769230769232
651,0.1724137931034483
652,0.23076923076923078
653,0.2903225806451613
654,0.2727272727272727
655,0.0
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.21875
663,0.1875
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
682,0.21428571428571427
683,0.3333333333333333
684,0.2413793103448276
685,0.21875
686,0.3939393939393939
687,0.29411764705882354
690,0.4
691,0.3055555555555556
692,0.3055555555555556
693,0.3611111111111111
694,0.3125
695,0.36363636363636365
696,0.2702702702702703
697,0.3888888888888889
698,0.12903225806451613
699,0.3333333333333333
700,0.22580645161290322
701,0.22580645161290322
702,0.13793103448275862
703,0.2903225806451613
704,0.0
705,0.0
706,0.0
707,0.36363636363636365
708,0.36666666666666664
709,0.18181818181818182
710,0.3333333333333333
711,0.3783783783783784
712,0.24242424242424243
713,0.3142857142857143
714,0.14285714285714285
715,0.26666666666666666
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.10344827586206896
724,0.15625
725,0.25
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.3333333333333333
733,0.2857142857142857
734,0.21428571428571427
735,0.25806451612903225
736,0.0
737,0.0
738,0.0
739,0.2
740,0.21875
741,0.4222222222222222
742,0.0
743,0.0
744,0.0
745,0.28125
746,0.38235294117647056
747,0.39473684210526316
748,0.21212121212121213
749,0.21428571428571427
750,0.2647058823529412
751,0.0
754,0.375
755,0.2972972972972973
756,0.36363636363636365
757,0.25925925925925924
758,0.3548387096774194
759,0.20588235294117646
760,0.10344827586206896
761,0.27906976744186046
762,0.21875
763,0.3
764,0.30303030303030304
765,0.25
766,0.1935483870967742
767,0.43902439024390244
768,0.28125
769,0.3333333333333333
770,0.3235294117647059
771,0.24242424242424243
772,0.0
773,0.0
774,0.0
775,0.1935483870967742
776,0.32432432432432434
777,0.25806451612903225
778,0.3611111111111111
779,0.3103448275862069
780,0.18181818181818182
781,0.0
782,0.0
783,0.0
784,0.0
785,0.0
786,0.0
787,0.4444444444444444
788,0.1935483870967742
789,0.3333333333333333
790,0.3055555555555556
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,0.0
801,0.0
802,0.0
803,0.0
804,0.28125
805,0.42857142857142855
806,0.42424242424242425
807,0.3235294117647059
808,0.3333333333333333
809,0.30303030303030304
810,0.0
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
817,0.21212121212121213
818,0.2777777777777778
819,0.1935483870967742
820,0.0
821,0.0
822,0.0
823,0.0
824,0.0
825,0.0
826,0.0
827,0.25
828,0.16666666666666666
829,0.20588235294117646
830,0.3333333333333333
831,0.18518518518518517
832,0.3333333333333333
833,0.0
834,0.0
835,0.0
836,0.2413793103448276
837,0.13793103448275862
838,0.13793103448275862
839,0.23333333333333334
840,0.13333333333333333
841,0.36585365853658536
842,0.3055555555555556
843,0.2
844,0.25806451612903225
845,0.25925925925925924
846,0.24242424242424243
847,0.1724137931034483
848,0.36363636363636365
849,0.2727272727272727
850,0.1875
851,0.0
852,0.0
853,0.0
854,0.0
855,0.0
856,0.0
857,0.10344827586206896
858,0.21212121212121213
859,0.13793103448275862
860,0.2857142857142857
861,0.39285714285714285
862,0.3888888888888889
863,0.0
864,0.0
865,0.0
866,0.34210526315789475
867,0.30303030303030304
868,0.25
869,0.35294117647058826
870,0.23529411764705882
871,0.30952380952380953
872,0.0
873,0.0
874,0.0
875,0.2972972972972973
876,0.3235294117647059
877,0.10344827586206896
878,0.34210526315789475
879,0.16666666666666666
880,0.375
881,0.16666666666666666
882,0.48484848484848486
883,0.375
884,0.3103448275862069
885,0.4166666666666667
886,0.14285714285714285
887,0.1875
888,0.0
889,0.0
890,0.0
891,0.2903225806451613
892,0.1935483870967742
893,0.2727272727272727
894,0.0
895,0.0
896,0.0
897,0.38235294117647056
898,0.2777777777777778
899,0.15625
900,0.0
901,0.0
902,0.0
903,0.4117647058823529
904,0.3225806451612903
905,0.3103448275862069
906,0.0
907,0.0
908,0.0
909,0.1875
910,0.27586206896551724
911,0.3225806451612903
912,0.3125
913,0.26666666666666666
914,0.25
915,0.2571428571428571
916,0.21212121212121213
917,0.2413793103448276
918,0.20689655172413793
919,0.21212121212121213
920,0.18421052631578946
921,0.18518518518518517
922,0.3125
923,0.2571428571428571
924,0.3125
925,0.3103448275862069
926,0.23076923076923078
927,0.18518518518518517
928,0.3157894736842105
929,0.16129032258064516
930,0.1935483870967742
931,0.37209302325581395
932,0.2926829268292683
933,0.23529411764705882
934,0.0
935,0.0
936,0.0
937,0.40540540540540543
938,0.40625
939,0.22580645161290322
940,0.2972972972972973
941,0.16129032258064516
942,0.0
943,0.0
944,0.0
945,0.0
946,0.0
947,0.0
948,0.0
949,0.2777777777777778
950,0.2413793103448276
951,0.24242424242424243
952,0.0
953,0.0
954,0.0
955,0.0
956,0.0
957,0.0
958,0.0
959,0.1935483870967742
960,0.12903225806451613
961,0.13333333333333333
962,0.0
963,0.0
964,0.0
965,0.3611111111111111
966,0.4
967,0.4444444444444444
968,0.2727272727272727
969,0.0
970,0.0
971,0.0
972,0.14285714285714285
973,0.2647058823529412
974,0.2972972972972973
975,0.23529411764705882
976,0.16666666666666666
977,0.0
978,0.0
979,0.0
980,0.3225806451612903
981,0.1875
982,0.30303030303030304
983,0.24242424242424243
984,0.2
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.4074074074074074
992,0.1951219512195122
993,0.3684210526315789
994,0.3333333333333333
995,0.0
996,0.0
997,0.0
998,0.3333333333333333
999,0.2571428571428571
1000,0.2727272727272727
1001,0.13333333333333333
1002,0.13333333333333333
1003,0.29411764705882354
1004,0.35
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.15789473684210525
1014,0.2894736842105263
1015,0.16666666666666666
1016,0.2571428571428571
1017,0.22580645161290322
1018,0.29411764705882354
1019,0.4
1020,0.3055555555555556
1021,0.3888888888888889
1022,0.2857142857142857
1023,0.35294117647058826
1024,0.0
1025,0.0
1026,0.0
1027,0.0
1028,0.4473684210526316
1029,0.26666666666666666
1030,0.2903225806451613
1031,0.1875
1032,0.3055555555555556
1033,0.1935483870967742
1034,0.2777777777777778
1035,0.22580645161290322
1036,0.07142857142857142
1037,0.3225806451612903
1038,0.41935483870967744
1039,0.23333333333333334
1040,0.0
1041,0.0
1042,0.0
1043,0.0
1044,0.0
1045,0.0
1046,0.0
1047,0.1
1048,0.21052631578947367
1049,0.2702702702702703
1050,0.0
1051,0.0
1052,0.0
1053,0.4
1054,0.4473684210526316
1055,0.2413793103448276
1056,0.2647058823529412
1057,0.35135135135135137
1058,0.20588235294117646
1059,0.0
1060,0.0
1061,0.0
1062,0.3333333333333333
1063,0.39473684210526316
1064,0.3888888888888889
1067,0.0
1068,0.0
1069,0.2727272727272727
1070,0.21212121212121213
1071,0.2857142857142857
1072,0.0
1075,0.0
1076,0.4
1077,0.19230769230769232
1078,0.2857142857142857
1079,0.3142857142857143
1080,0.2857142857142857
1081,0.1935483870967742
1082,0.0
1083,0.0
1084,0.0
1085,0.23333333333333334
1086,0.24242424242424243
1087,0.0
1088,0.0
1089,0.0
1090,0.0
1091,0.0
1092,0.0
1093,0.0
1094,0.19230769230769232
1095,0.40625
1096,0.2777777777777778
1097,0.0
1098,0.0
1099,0.0
1100,0.26666666666666666
1101,0.15625
1102,0.13793103448275862
1103,0.20588235294117646
1104,0.2222222222222222
1105,0.40540540540540543
1106,0.34375
1107,0.3157894736842105
1108,0.2777777777777778
1109,0.2727272727272727
1110,0.1724137931034483
1111,0.3157894736842105
1112,0.23529411764705882
1113,0.23333333333333334
1114,0.0
1115,0.0
1116,0.0
1117,0.2413793103448276
1118,0.20689655172413793
1119,0.21212121212121213
1120,0.0
1121,0.0
