,COL_hits
598,11
599,9
600,14
601,11
602,6
603,10
604,10
605,9
606,13
607,12
608,15
609,7
610,4
611,8
612,10
613,10
614,12
615,6
616,5
619,10
620,14
621,10
622,2
623,8
624,13
625,12
626,5
627,8
628,5
629,16
630,17
631,17
632,10
633,4
634,6
635,11
636,14
637,8
638,9
639,8
640,13
641,12
642,19
643,5
644,10
645,8
646,7
647,10
648,7
649,9
650,10
651,5
652,5
653,7
654,15
655,9
656,5
657,8
658,5
659,11
660,2
661,7
662,9
663,7
664,11
665,7
666,6
667,8
668,14
669,14
670,19
671,6
672,8
673,11
674,5
675,7
676,7
677,8
678,7
679,3
682,3
683,14
684,9
685,7
686,12
687,6
690,10
691,12
692,9
693,3
694,8
695,3
696,8
697,5
698,9
699,10
700,10
701,19
702,10
703,9
704,14
705,4
706,3
707,7
708,7
709,5
710,3
711,5
712,12
713,11
714,9
715,6
716,17
717,11
718,10
719,9
720,6
721,20
722,11
723,11
724,6
725,13
726,14
727,12
728,7
729,9
730,8
731,8
732,5
733,10
734,11
735,13
736,11
737,9
738,1
739,19
740,8
741,8
742,13
743,9
744,10
745,18
746,6
747,11
748,12
749,12
750,15
751,3
754,8
755,13
756,9
757,10
758,12
759,9
760,6
761,7
762,11
763,10
764,8
765,7
766,6
767,7
768,12
769,9
770,10
771,12
772,6
773,14
774,9
775,7
776,13
777,6
778,9
779,7
780,11
781,10
782,8
783,9
784,7
785,12
786,17
787,6
788,7
789,8
790,8
791,7
792,8
793,16
794,9
795,7
796,3
797,8
798,12
799,7
800,7
801,7
802,12
803,8
804,10
805,5
806,14
807,6
808,8
809,10
810,12
811,8
812,5
813,8
814,8
815,6
816,6
817,11
818,8
819,8
820,13
821,10
822,6
823,4
824,4
825,12
826,5
827,4
828,5
829,13
830,18
831,6
832,13
833,16
834,4
835,4
836,6
837,8
838,5
839,6
840,3
841,4
842,12
843,6
844,5
845,6
846,12
847,12
848,17
849,5
850,13
851,8
852,8
853,7
854,5
855,17
856,13
857,3
858,6
859,6
860,8
861,11
862,9
863,12
864,12
865,11
866,12
867,13
868,11
869,17
870,11
871,10
872,12
873,13
874,10
875,4
876,7
877,13
878,6
879,10
880,10
881,15
882,9
883,13
884,11
885,10
886,9
887,12
888,7
889,5
890,12
891,5
892,3
893,11
894,5
895,6
896,3
897,8
898,7
899,7
900,8
901,6
902,7
903,12
904,5
905,9
906,14
907,8
908,7
909,10
910,1
911,9
912,6
913,5
914,7
915,4
916,13
917,8
918,4
919,10
920,9
921,2
922,10
923,11
924,13
925,10
926,6
927,7
928,3
929,11
930,6
931,9
932,9
933,6
934,11
935,5
936,9
937,11
938,5
939,16
940,10
941,6
942,6
943,11
944,7
945,7
946,11
947,8
948,9
949,8
950,6
951,14
952,8
953,10
954,4
955,7
956,8
957,8
958,7
959,11
960,6
961,5
962,8
963,3
964,7
965,5
966,9
967,4
968,8
969,12
970,18
971,5
972,9
973,4
974,2
975,16
976,5
977,9
978,8
979,6
980,13
981,11
982,12
983,9
984,12
985,6
986,8
987,11
988,1
989,8
990,5
991,5
992,17
993,14
994,6
995,6
996,10
997,12
998,10
999,9
1000,10
1001,8
1002,6
1003,8
1004,10
1005,12
1006,12
1007,11
1008,16
1009,9
1010,12
1011,9
1012,10
1013,9
1014,13
1015,8
1016,6
1017,9
1018,3
1019,8
1020,15
1021,10
1022,17
