,COL_ba
200,0.17857142857142858
201,0.21428571428571427
202,0.2857142857142857
203,0.27586206896551724
204,0.16666666666666666
205,0.30303030303030304
206,0.2894736842105263
207,0.23529411764705882
208,0.21212121212121213
209,0.2903225806451613
210,0.30303030303030304
211,0.13333333333333333
212,0.23333333333333334
213,0.35294117647058826
214,0.25806451612903225
215,0.28125
216,0.3125
217,0.3333333333333333
218,0.25925925925925924
219,0.2903225806451613
220,0.5
221,0.475
222,0.34285714285714286
223,0.2777777777777778
224,0.2857142857142857
225,0.24242424242424243
226,0.4
227,0.21212121212121213
228,0.14285714285714285
229,0.2647058823529412
230,0.3125
231,0.3333333333333333
232,0.42857142857142855
233,0.27586206896551724
234,0.3103448275862069
235,0.4318181818181818
236,0.2647058823529412
237,0.2857142857142857
238,0.1935483870967742
239,0.3333333333333333
240,0.4
241,0.375
242,0.2903225806451613
243,0.40625
244,0.13793103448275862
245,0.2903225806451613
246,0.3225806451612903
247,0.2413793103448276
248,0.1935483870967742
249,0.4318181818181818
250,0.24242424242424243
251,0.38461538461538464
252,0.36666666666666664
253,0.24242424242424243
254,0.30303030303030304
255,0.30303030303030304
256,0.3157894736842105
257,0.43902439024390244
258,0.2903225806451613
259,0.22857142857142856
260,0.34285714285714286
261,0.35135135135135137
262,0.3142857142857143
263,0.32432432432432434
264,0.1724137931034483
265,0.14285714285714285
266,0.42105263157894735
267,0.2857142857142857
268,0.23076923076923078
269,0.358974358974359
270,0.25
271,0.27586206896551724
272,0.4444444444444444
273,0.25
274,0.20512820512820512
275,0.25806451612903225
276,0.25
277,0.25806451612903225
278,0.39473684210526316
279,0.23529411764705882
280,0.2962962962962963
281,0.19230769230769232
282,0.3225806451612903
283,0.1935483870967742
284,0.3235294117647059
287,0.3055555555555556
288,0.19230769230769232
289,0.43243243243243246
290,0.25
291,0.3055555555555556
292,0.28125
293,0.18518518518518517
294,0.29411764705882354
295,0.27586206896551724
296,0.125
297,0.16129032258064516
298,0.3333333333333333
299,0.4
300,0.38095238095238093
301,0.3125
302,0.10344827586206896
303,0.28888888888888886
304,0.1935483870967742
305,0.20689655172413793
306,0.25
307,0.19230769230769232
308,0.23076923076923078
309,0.2903225806451613
310,0.41935483870967744
311,0.375
312,0.41025641025641024
313,0.2
314,0.20689655172413793
315,0.3235294117647059
316,0.28125
317,0.2727272727272727
318,0.17857142857142858
319,0.3
320,0.20689655172413793
321,0.3548387096774194
322,0.275
323,0.41025641025641024
324,0.25
325,0.1935483870967742
326,0.23529411764705882
327,0.17857142857142858
328,0.3333333333333333
329,0.2413793103448276
330,0.16666666666666666
331,0.1935483870967742
332,0.21875
333,0.3125
334,0.3
335,0.3888888888888889
336,0.40476190476190477
337,0.41935483870967744
338,0.21212121212121213
339,0.23333333333333334
340,0.35294117647058826
341,0.3076923076923077
342,0.2727272727272727
343,0.42857142857142855
344,0.38235294117647056
345,0.4117647058823529
346,0.25806451612903225
347,0.22580645161290322
350,0.29411764705882354
351,0.3103448275862069
352,0.29411764705882354
353,0.23529411764705882
354,0.2647058823529412
355,0.3870967741935484
356,0.10714285714285714
357,0.12
358,0.29411764705882354
359,0.3142857142857143
360,0.2571428571428571
361,0.25
362,0.358974358974359
365,0.2
366,0.2972972972972973
367,0.19230769230769232
368,0.18181818181818182
369,0.06666666666666667
370,0.25
371,0.20588235294117646
372,0.42857142857142855
375,0.3055555555555556
376,0.35294117647058826
377,0.35135135135135137
378,0.20588235294117646
379,0.24242424242424243
