,COL_kk
1238,8
1239,9
1240,7
1241,9
1242,10
1243,9
1248,5
1249,14
1250,6
1251,10
1252,3
1253,5
1254,11
1255,12
1256,8
1257,10
1258,7
1259,7
1260,6
1261,5
1262,5
1263,7
1264,4
1265,7
1266,7
1267,5
1268,9
1269,9
1270,16
1271,9
1272,9
1273,9
1274,5
1275,10
1276,7
1277,4
1278,8
1279,12
1280,9
1281,6
1282,8
1283,5
1284,10
1285,10
1286,10
1287,9
1288,12
1289,9
1290,6
1291,12
1292,7
1293,6
1294,10
1295,9
1296,7
1297,6
1298,5
1299,10
1300,13
1301,9
1302,9
1303,11
1304,13
1305,12
1306,8
1307,10
1308,7
1309,10
1310,6
1311,9
1312,10
1313,3
1314,4
1315,6
1316,7
1317,12
1318,13
1319,8
1322,12
1323,9
1324,8
1325,5
1326,7
1327,7
1328,3
1329,3
1330,7
1331,4
1332,9
1333,4
1334,17
1335,6
1336,8
1337,6
1338,9
1339,11
1340,12
1341,4
1342,9
1343,6
1344,7
1345,7
1346,8
1347,8
1348,7
1349,8
1350,6
1351,4
1352,10
1353,16
1354,2
1355,4
1356,11
1357,9
1358,7
1359,8
1360,6
1361,4
1362,7
1363,4
1364,7
1365,5
1366,5
1367,7
1370,6
1371,8
1372,7
1373,9
1374,9
1375,3
1376,8
1377,5
1378,7
1379,9
1380,2
1381,7
1382,6
1383,9
1384,3
1385,6
1386,12
1387,7
1388,9
1389,4
1390,10
1391,10
1392,12
1395,4
1396,4
1397,12
1398,11
1399,3
1402,4
1403,8
1406,7
1407,7
1408,7
1409,11
1410,11
1411,8
1412,8
1413,3
1416,10
1417,7
1418,7
1419,9
1420,2
1421,10
1422,5
1423,6
1424,6
1425,5
1426,2
1427,7
1428,5
1429,5
1430,9
1431,6
1432,4
1433,5
1434,6
1435,7
1436,10
1437,4
1438,6
1439,8
1440,6
1441,8
1442,6
1443,5
1444,5
1445,7
1446,4
1447,7
1448,11
1449,9
1450,7
1451,9
1452,9
1453,10
1454,7
1455,8
1456,7
1457,7
1458,5
1459,7
1462,10
1463,9
1464,4
1465,3
1466,3
1467,8
1468,4
1469,8
1470,4
1471,7
1472,6
1473,5
1474,5
1475,7
1476,7
1477,9
1478,8
1479,13
1480,7
1481,5
1482,7
1483,6
1484,8
1485,12
1486,10
1487,13
1488,9
1491,11
1492,10
1493,11
1494,5
1495,8
1496,11
1497,6
1498,11
1499,6
1500,8
1501,8
1502,11
1503,9
1504,9
1505,10
1506,7
1507,7
1508,7
1509,7
1510,13
1511,7
1512,8
1513,10
1514,15
1515,6
1516,8
1517,9
1518,10
1519,5
1520,4
1521,5
1522,11
1523,9
1524,8
1525,4
1526,10
1527,6
1528,6
1529,8
1530,13
1531,9
1532,12
1533,8
1534,4
1535,7
1536,6
1537,11
1538,8
1539,10
1540,5
1541,5
1542,9
1543,7
1544,4
1545,10
1546,7
1547,4
1548,6
1549,7
1550,8
1551,7
1552,8
1553,4
1554,11
1555,13
1556,11
1557,7
1558,11
1559,9
1560,7
1561,4
1562,6
1563,3
1564,8
1565,4
1566,6
1567,6
1568,10
1569,4
1570,8
1571,5
1572,3
1573,1
1574,8
1575,9
1576,5
1577,10
1578,2
1579,16
1580,7
1581,10
1582,6
1583,10
1584,6
1585,6
1586,8
1587,7
1588,4
1589,6
1590,5
1591,8
1592,9
1593,6
1594,9
1595,9
1596,3
1597,6
1598,4
1599,13
1600,11
1601,10
1602,4
1603,5
1604,5
1605,6
1606,1
1607,7
1608,1
1609,7
1610,7
1611,6
1612,7
1613,8
1614,8
1615,8
1616,8
1617,6
1618,6
1619,3
1620,8
1621,10
1622,8
1623,7
1624,6
1625,8
1626,4
1627,4
1628,5
1629,8
1630,7
1631,12
1632,3
1633,3
1634,5
1635,4
1636,11
1637,2
1638,3
1639,5
1640,9
1641,6
1642,7
1643,7
1644,10
1645,4
1646,9
1647,9
1648,5
1649,4
1650,5
1651,4
1652,7
1653,7
1654,7
1655,4
1656,9
1657,8
1658,7
1659,5
1660,2
1661,8
1662,7
1663,11
1666,8
1667,6
1668,10
1669,5
1670,7
1671,5
1672,7
1675,8
1676,5
1677,8
1678,10
1679,15
1680,9
1681,2
1682,5
1683,6
1684,4
1685,6
1686,7
1687,13
1688,12
1689,6
1690,6
1691,8
1692,5
1693,7
1694,7
1695,4
1696,4
1697,8
1698,11
1699,3
1702,6
1703,7
1704,1
1705,8
1706,4
1707,2
1708,4
1709,2
1710,8
1711,12
1712,7
1713,6
1714,8
1715,6
1716,7
1717,8
1718,7
1719,3
1720,4
1721,6
1722,9
1723,5
1724,7
1725,5
1726,11
1727,11
1728,9
1729,7
1730,3
1731,7
1732,4
1733,4
1734,9
1735,5
1736,7
1737,5
1738,3
1739,4
1740,10
1741,5
1742,6
1743,12
1744,6
1745,2
1746,8
1747,4
1748,10
1749,7
1750,10
1751,8
1752,5
1753,11
1754,3
1755,6
1756,6
1757,7
1758,4
1759,5
1760,7
1761,10
1762,8
1763,7
1764,6
1765,6
1766,5
1767,7
1768,4
1769,6
1770,9
1771,8
1772,11
1773,6
1774,7
1775,12
1776,13
1777,10
1778,9
1779,6
1780,8
1781,6
1782,6
1783,10
1786,11
1787,9
1788,9
1789,6
1790,7
1791,5
1792,4
1793,9
1794,8
1795,8
1796,10
1797,7
1798,6
1799,6
1800,6
1801,6
1802,8
1803,4
1804,5
1805,7
1806,2
1807,6
1808,5
1809,9
1810,6
1811,8
1812,5
1813,10
1814,7
1815,6
1816,-1
1817,-1
1818,-1
1819,-1
1820,-1
1821,-1
1822,-1
1823,-1
1824,-1
1825,-1
1826,-1
1827,-1
1828,-1
1829,-1
1830,-1
1831,-1
1832,-1
1833,-1
1834,-1
1835,-1
1836,-1
1837,-1
1838,-1
1839,-1
1840,-1
1841,-1
